Code;Designation;Famille produits ;Qte cdee;Qte vendue ;Prix TTC 
750760;10 S.POUBEL.50L.POIGN.B.F;MENAGE                                                    ;28;13;8,3
750687;10 SACS POUBELLE 100L B.F;MENAGE                                                    ;24;10;10,2
750786;10 SACS POUBELLE 130L B.F;MENAGE                                                    ;18;4;13,74
750646;10 SACS POUBELLE 50L  B.F;MENAGE                                                    ;26;5;7,3
750745;20 S.POUBEL.POIGN.30L.B.F;MENAGE                                                    ;25;15;8,4
750661;20 SACS POUBELLE 20L  B.F;MENAGE                                                    ;30;26;5,3
750729;20 SACS POUBELLE 30L  B.F;MENAGE                                                    ;24;20;7,3
750547;25 SAC.CONGELATION GM B.F;MENAGE                                                    ;24;8;4,6
748863;4 CROCHET ADH.BLC GM92006;MENAGE                                                    ;5;2;1,45
748848;4 CROCHETS ADH.CAR.P92012;MENAGE                                                    ;5;4;1
750588;40 S.CONGEL.ZIP PM  ALFAP;MENAGE                                                    ;24;3;5
750604;40 SAC CONGEL.ZIP MM ALFA;MENAGE                                                    ;24;22;5
750463;50 SAC CONGELATION MM B.F;MENAGE                                                    ;24;22;5,4
750562;50 SAC CONGELATION PM ALF;MENAGE                                                    ;24;8;5
750489;50 SAC CONGELATION PM B.F;MENAGE                                                    ;24;13;3,74
748889;6 PINCES AC. TORCHON92032;MENAGE                                                    ;5;2;1,45
750620;B.10 SACS.GLACONS  B.F   ;MENAGE                                                    ;24;18;1,4
746503;B.2 DETART/MACH.DOSET.MEL;MENAGE                                                    ;8;6;4,22
746008;B.40 FILTRES N 2 B.FRANCE;MENAGE                                                    ;10;5;3,75
745943;B.40 FILTRES N 4 B FRANCE;MENAGE                                                    ;20;15;1,92
745927;B.80 FILT.+DETART.N.4 B.F;MENAGE                                                    ;10;9;2,03
748822;BAC GLACON SP.CONGEL92252;MENAGE                                                    ;5;2;3,55
743245;BL.2 BOUCHE EVIER GM CELD;MENAGE                                                    ;5;1;1,25
749309;BTE ALIMENT.A/COUV.0L75BF;MENAGE                                                    ;12;1;2,1
749325;BTE ALIMENT.A/COUV.1L15BF;MENAGE                                                    ;12;7;1,7
748509;COUTEAU CUISINE BOIS92312;MENAGE                                                    ;5;3;2,34
749101;COUVRE POT CONFITURE 25F ;MENAGE                                                    ;50;48;2
748103;DEROULEUR 30ML    ALFAPAC;MENAGE                                                    ;15;3;5
746461;DETART.FER REPASSER  KLAR;MENAGE                                                    ;12;2;3,5
746446;DETART.LAVE LINGE 200KLAR;MENAGE                                                    ;6;0;1,32
746347;DETARTRANT LIQUIDE MELITA;MENAGE                                                    ;20;13;8,6
743302;EPLUCHEUR RASOIR INOX CEL;MENAGE                                                    ;5;0;1
879148;FILM ALIM.2EN1 20M  ALBAL;MENAGE                                                    ;24;21;3,68
747907;FILM ETIRABLE 50M ALFAPAC;MENAGE                                                    ;24;8;5
747741;FILM FRAICHEUR 30M  ALBAL;MENAGE                                                    ;24;14;5,2
749242;P.10 BARQ.ALU+COUV.0L5 BF;MENAGE                                                    ;12;5;1,6
